frame_index,time_s,json_timestamp_s,frame_count,exchange_status,prearm_hold_active,parse_ok,required_fields_present,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,position_n,position_e,position_d,velocity_n,velocity_e,velocity_d,quat_w,quat_x,quat_y,quat_z,quat_norm,accel_norm,accel_align_to_minus_gravity,source_accel_x,source_accel_y,source_accel_z,linear_accel_x,linear_accel_y,linear_accel_z,gravity_body_x,gravity_body_y,gravity_body_z,ground_candidate,all_finite,accel_mode,accel_explanation
92,1.0422477,0.920000000000001,0,ответная передача,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,,
93,1.0545,0.930000000000001,0,ответная передача,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,,
94,1.0643037,0.940000000000001,544,ответная передача,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,,
95,1.0774526,0.950000000000001,0,ответная передача,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,,
96,1.0899731,0.960000000000001,0,ответная передача,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,,
97,1.1005833,0.970000000000001,545,ответная передача,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,,
98,1.1140057,0.980000000000001,0,ответная передача,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,,
99,1.1262027,0.990000000000001,0,ответная передача,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,,
100,1.1384917,1,0,ответная передача,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,,
101,1.1418278,1.01,546,ответная передача,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,,
102,1.1549062,1.02,0,ответная передача,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,,
103,1.1669484,1.03,0,ответная передача,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,,
104,1.1749094,1.04,547,ответная передача,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,,
105,1.1884061,1.05,0,ответная передача,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,,
