time_s,altitude_ref_m,altitude_m,altitude_est_m,vertical_speed_ref_mps,vertical_speed_mps,vertical_speed_est_mps,pitch_ref_rad,pitch_rad,pitch_est_rad,pitch_ref_deg,pitch_deg,pitch_est_deg,quat_norm_true,quat_norm_est,motor_cmd_1_radps,motor_speed_1_radps,motor_cmd_2_radps,motor_speed_2_radps,motor_cmd_3_radps,motor_speed_3_radps,motor_cmd_4_radps,motor_speed_4_radps
10.63,42.52,42.5100907242769,42.3299687543749,4,4.00942499164348,3.48069774190459,0,-1.87921483929544e-13,-4.64692689923801e-15,0,-1.07671079089984e-11,-2.66249299032152e-13,1,1,553.462259139762,553.453467917404,553.462259139762,553.453467917404,553.462259139762,553.453467917404,553.462259139762,553.453467917404
10.64,42.56,42.5501849741933,42.370067137706,4,4.00934505160056,3.48062613313038,0,-1.88124446576234e-13,-4.65589396409021e-15,0,-1.07787368120525e-11,-2.66763074002803e-13,1,1,553.463955238757,553.455226161876,553.463955238757,553.455226161876,553.463955238757,553.455226161876,553.463955238757,553.455226161876
10.65,42.6,42.5902784247093,42.4101646899549,4,4.00926572994624,3.48055507637926,0,-1.88327409222923e-13,-4.66450234634831e-15,0,-1.07903657151066e-11,-2.67256297974628e-13,1,1,553.465639303978,553.456971977252,553.465639303978,553.456971977252,553.465639303978,553.456971977252,553.465639303978,553.456971977252
10.66,42.64,42.6303710820088,42.4502614175271,4,4.0091870223079,3.48048456776238,0,-1.88530371869612e-13,-4.67489802152338e-15,0,-1.08019946181607e-11,-2.67851926287348e-13,1,1,553.46731141234,553.458705442597,553.46731141234,553.458705442597,553.46731141234,553.458705442597,553.46731141234,553.458705442597
10.67,42.68,42.6704629522318,42.4903573267832,4,4.00910892434077,3.48041460341555,0,-1.88735554962351e-13,-4.68594368379508e-15,0,-1.08137507434021e-11,-2.68484796117443e-13,1,1,553.468971640332,553.460426636546,553.468971640332,553.460426636546,553.468971640332,553.460426636546,553.468971640332,553.460426636546
10.68,42.72,42.7105540414752,42.5304524240389,4,4.00903143172771,3.48034517949901,0,-1.88941848278114e-13,-4.69654751957591e-15,0,-1.08255704797371e-11,-2.69092351154335e-13,1,1,553.470620064025,553.462135637303,553.470620064025,553.462135637303,553.470620064025,553.462135637303,553.470620064025,553.462135637303
10.69,42.76,42.7506443557925,42.5705467155655,4,4.00895454017912,3.48027629219739,0,-1.89148141593877e-13,-4.70672720192551e-15,0,-1.0837390216072e-11,-2.69675603989751e-13,1,1,553.472256759071,553.463832522647,553.472256759071,553.463832522647,553.472256759071,553.463832522647,553.472256759071,553.463832522647
10.7,42.8,42.7907339011943,42.6106402075898,4,4.00887824543274,3.48020793771952,0,-1.8935443490964e-13,-4.71649969698112e-15,0,-1.0849209952407e-11,-2.7023552671175e-13,1,1,553.473881800705,553.465517369932,553.473881800705,553.465517369932,553.473881800705,553.465517369932,553.473881800705,553.465517369932
10.71,42.84,42.8308226836486,42.6507329062949,4,4.00880254325353,3.48014011229832,0,-1.89560728225403e-13,-4.72588129223451e-15,0,-1.0861029688742e-11,-2.70773052524869e-13,1,1,553.475495263744,553.467190256087,553.475495263744,553.467190256087,553.475495263744,553.467190256087,553.475495263744,553.467190256087
10.72,42.88,42.8709107090812,42.6908248178198,4,4.00872742943351,3.48007281219068,0,-1.89767021541166e-13,-4.73488762367777e-15,0,-1.0872849425077e-11,-2.71289077305464e-13,1,1,553.477097222596,553.468851257618,553.477097222596,553.468851257618,553.477097222596,553.468851257618,553.477097222596,553.468851257618
