time_s,altitude_ref_m,altitude_m,altitude_est_m,vertical_speed_ref_mps,vertical_speed_mps,vertical_speed_est_mps,pitch_ref_rad,pitch_rad,pitch_est_rad,pitch_ref_deg,pitch_deg,pitch_est_deg,pitch_estimation_error_deg,accel_correction_weight,accel_consistency_metric,quat_norm_true,quat_norm_est,motor_cmd_1_radps,motor_speed_1_radps,motor_cmd_2_radps,motor_speed_2_radps,motor_cmd_3_radps,motor_speed_3_radps,motor_cmd_4_radps,motor_speed_4_radps
13.23,20,19.846243719952,19.8540635292774,0,-0.0671243109714086,-0.049942973657223,-0.174532925199433,-0.211868571747902,-0.174897456415784,-10,-12.1391749726195,-10.0208861001977,-2.11828887242177,0,1.77000700942274,1,1,562.484181136586,562.593250865584,562.484181136586,562.593250865584,562.484353507396,562.593426605754,562.484353507396,562.593426605754
13.24,20,19.8455724768423,19.8533439181817,0,-0.0662130877694023,-0.0491274932642645,-0.174532925199433,-0.211867143429038,-0.174896033668204,-10,-12.1390931359767,-10.020804582766,-2.11828855321072,0,1.76978559374395,1,1,562.462934513091,562.571436919784,562.462934513091,562.571436919784,562.463106221726,562.571611986082,562.463106221726,562.571611986082
13.25,20,19.8449103459646,19.8526338045772,0,-0.0653094727047869,-0.0483187243253095,-0.174532925199433,-0.211865720681457,-0.174894616470322,-10,-12.139011618545,-10.0207233833087,-2.11828823523639,0,1.76956564029446,1,1,562.441801151041,562.549736438445,562.441801151041,562.549736438445,562.441972199846,562.549910833211,562.441972199846,562.549910833211
13.26,20,19.8442572512376,19.8519331104321,0,-0.0644134256839488,-0.0475166323390865,-0.174532925199433,-0.211864303483575,-0.174893204800632,-10,-12.1389304190877,-10.0206425005933,-2.11828791849436,0,1.76934714341749,1,1,562.42078097148,562.528149380964,562.42078097148,562.528149380964,562.420951362799,562.528323106538,562.420951362799,562.528323106538
13.27,20,19.8436131169807,19.8512417581171,0,-0.0635249066343351,-0.0467211828000919,-0.174532925199433,-0.211862891813885,-0.174891798637702,-10,-12.1388495363724,-10.0205619333922,-2.11828760298019,0,1.76913009741105,1,1,562.399873888396,562.506675699068,562.399873888396,562.506675699068,562.400043624573,562.50684875779,562.400043624573,562.50684875779
13.28,20,19.8429778679144,19.8505596704051,0,-0.0626438755070875,-0.0459323412014936,-0.174532925199433,-0.211861485650956,-0.174890397960181,-10,-12.1387689691712,-10.0204816804818,-2.11828728868947,0,1.76891449652972,1,1,562.379079808836,562.485315336933,562.379079808836,562.485315336933,562.379248892213,562.485487731147,562.379248892213,562.485487731147
13.29,20,19.8423514291593,19.8498867704712,0,-0.0617702922796286,-0.0451500730379971,-0.174532925199433,-0.211860084973435,-0.174889002746792,-10,-12.1386887162608,-10.020401740643,-2.11828697561776,0,1.76870033498637,1,1,562.358398633023,562.464068231314,562.358398633023,562.464068231314,562.35856706594,562.46423996336,562.358567065939,562.46423996336
13.3,20,19.8417337262365,19.8492229818927,0,-0.0609041169582103,-0.0443743438086678,-0.174532925199433,-0.211858689760045,-0.174887612976336,-10,-12.1386087764221,-10.0203221126614,-2.11828666376065,0,1.76848760695377,1,1,562.337830254474,562.442934311656,562.337830254474,562.442934311656,562.337998039268,562.443105383876,562.337998039268,562.443105383876
13.31,20,19.8411246850669,19.8485682286488,0,-0.0600453095804157,-0.0436051190197151,-0.174532925199433,-0.211857299989589,-0.174886228627691,-10,-12.1385291484404,-10.0202427953267,-2.11828635311372,0,1.76827630656635,1,1,562.317374560115,562.421913500219,562.317374560115,562.421913500219,562.317541699121,562.422083914954,562.31754169912,562.422083914954
13.32,20,19.8405242319711,19.8479224351206,0,-0.0591938302176194,-0.0428423641872334,-0.174532925199433,-0.211855915640945,-0.174884849679814,-10,-12.1384498311057,-10.0201637874332,-2.11828604367256,0,1.76806642792173,1,1,562.297031430391,562.401005712198,562.297031430391,562.401005712198,562.297197925942,562.401175471788,562.297197925942,562.401175471787
